code,name,source,category,section,page_pdf,air_g,energy_kcal,protein_g,fat_g,carb_g,fiber_g,ash_g,calcium_mg,phosphorus_mg,iron_mg,sodium_mg,potassium_mg,copper_mg,zinc_mg,retinol_mcg,beta_carotene_mcg,carotene_total_mcg,thiamin_mg,riboflavin_mg,niacin_mg,vitamin_c_mg,bdd_percent
AR001,"Milled rice, raw",KZGMI-2001,4.1. SEREALIA DAN HASIL OLAHANNYA,single,15,12.0,357,8.4,1.7,77.1,0.2,0.8,147.0,81.0,1.8,27.0,71.0,0.1,0.5,0.0,0.0,0.0,0.2,0.08,2.6,0.0,100.0
AR002,"Milled rice var. Pelita, raw",KZGPI-1990,4.1. SEREALIA DAN HASIL OLAHANNYA,single,15,11.4,369,9.5,1.4,77.1,0.4,0.6,68.0,171.0,1.4,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26,0.0,0.0,0.0,100.0
AR003,"Milled rice var. Rojolele, raw",KZGPI-1990,4.1. SEREALIA DAN HASIL OLAHANNYA,single,15,12.0,357,8.4,1.7,77.1,0.2,0.8,147.0,81.0,1.8,34.0,112.9,0.14,0.1,,0.0,80.0,0.2,0.02,1.5,0.0,100.0
AR004,"Black rice, raw",KZGMI-2001,4.1. SEREALIA DAN HASIL OLAHANNYA,single,15,12.9,351,8.0,1.3,76.9,20.1,0.9,6.0,198.0,0.1,15.0,105.0,0.1,1.6,0.0,0.0,0.0,0.21,0.06,0.0,0.0,100.0
AR005,"Yellow corn rice, dried, raw",KZGMI-2001,4.1. SEREALIA DAN HASIL OLAHANNYA,single,15,10.8,358,5.5,0.1,82.7,10.0,0.9,20.0,90.0,1.4,1.0,80.0,0.1,4.1,,641.0,,0.12,0.08,1.0,3.0,100.0
AR006,"White corn rice, dried, raw",KZGMI-2001,4.1. SEREALIA DAN HASIL OLAHANNYA,single,15,22.5,307,4.8,0.1,71.8,10.0,0.8,17.0,78.0,1.2,1.0,70.0,0.1,3.5,,301.0,,0.15,0.07,0.9,0.0,100.0
AR007,"Pounded black glutinous rice, raw",KZGPI-1990,4.1. SEREALIA DAN HASIL OLAHANNYA,single,15,13.7,360,8.0,2.3,74.5,1.0,1.5,10.0,347.0,6.2,11.0,288.0,0.28,2.2,0.0,0.0,0.0,0.24,0.1,2.0,0.0,100.0
AR008,"Pounded white glutinous rice, raw",KZGPI-1990,4.1. SEREALIA DAN HASIL OLAHANNYA,single,15,12.9,361,7.4,0.8,78.4,0.4,0.5,13.0,157.0,3.4,3.0,282.0,0.28,2.2,0.0,0.0,0.0,0.28,0.0,1.4,0.0,100.0
AR009,"Upland rice, raw",KZGMI-2001,4.1. SEREALIA DAN HASIL OLAHANNYA,single,15,9.8,376,7.5,3.8,78.0,5.9,0.9,20.0,110.0,0.8,10.0,70.0,0.1,1.4,0.0,0.0,,0.2,0.2,5.1,0.0,100.0
AR010,"Broken rice, raw",DABM-1964,4.1. SEREALIA DAN HASIL OLAHANNYA,single,15,12.0,362,7.7,4.4,73.0,0.2,0.2,22.0,272.0,3.7,90.0,201.0,0.1,0.5,0.0,0.0,,0.55,0.0,1.9,0.0,100.0
